ID;X;Y;Hmax;Hmean;Hstd;pene;CV;h10;h20;h30;h40;h50;h60;h70;h80;h90;TreeNum;Species;X_1;Y_1;d13_2009;hc_2009;Damage_cla;h
11;5978.11;1219.03;17.72;14.864502;1.854603;0.749398;0.124767;12.85;13.63;14.4;14.65;14.96;15.15;15.84;16.27;17.14;72;1;5977.922;1219.701;154;12.2;0;16.079671
12;5979.54;1214.92;20.43;14.89631;4.560147;0.707081;0.306126;5.758;13.142;14.86;15.34;16.31;16.976;17.49;17.814;19.14;74;1;5979.573;1215.487;228;11.9;0;19.252246
13;5897.08;1234.17;18.79;13.341797;3.944626;0.625917;0.295659;8.66;9.4;11.035;13.17;14.145;15.12;15.98;17.26;17.925;423;2;5897.456;1234.729;203;6.3;0;17.548421
14;5896.16;1228.81;23.88;16.361933;4.77386;0.614155;0.291766;9.916;12.182;14.124;15.202;16.83;18.492;19.888;21.022;21.808;431;2;5896.268;1229.67;243;10.4;0;20.229811
15;5902.92;1234.68;21.86;11.183199;7.243642;0.52225;0.647725;2.511;2.822;3.21;6.992;13.3;15.516;17.718;18.626;19.88;422;1;5903.171;1234.742;269;12.5;0;20.57065
16;5920.08;1219.6;22.34;16.424234;4.205199;0.559898;0.256036;13.16;14.906;15.144;15.712;16.65;18.41;18.966;19.818;20.714;399;1;5920.455;1220.053;279;14;0;20.857325
17;5929.47;1222.39;21.02;17.654404;3.378233;0.642691;0.191354;14.97;15.842;17.054;18.064;18.45;19.04;19.652;20.068;20.614;382;1;5929.509;1222.045;257;14;0;20.20975
18;5930.42;1217.8;20.77;13.758374;4.303869;0.703072;0.312818;6.963;9.844;12.169;13.248;14.76;15.404;16.48;17.368;18.734;384;2;5930.842;1218.365;205;7.4;0;17.685713
19;5933.22;1221.85;21.48;16.816215;3.808136;0.640404;0.226456;9.278;14.582;15.978;17.164;18.16;18.776;18.972;19.444;20.466;375;1;5933.134;1222.454;243;13.6;0;19.76348
20;5937.79;1222.92;21.88;17.012064;4.70723;0.636519;0.2767;9.29;15.682;16.35;17.478;18.34;19.11;19.74;20.052;20.816;364;1;5937.703;1222.837;222;13.4;0;19.037356
21;5939.61;1221.03;21.4;15.735361;5.162375;0.67951;0.328075;4.798;13.938;15.84;16.236;17.58;18.462;19.09;19.486;20.015;362;1;5939.853;1221.417;308;12.4;0;21.623716
22;5938.88;1214.52;22.21;13.072157;4.936525;0.789965;0.377637;5.932;8.492;10.342;12.262;13.6;14.866;16.312;17.658;19.414;358;2;5938.524;1215.149;252;6.4;0;20.814964
23;5964.1;1212.43;22.52;17.331714;3.733659;0.662879;0.215424;12.268;14.932;15.792;16.152;17.51;19.004;20.15;20.812;21.812;40;1;5964.152;1213.01;194;14.9;0;17.945993
24;5969.48;1213.25;21.65;14.810528;4.97115;0.69616;0.33565;6.164;11.872;14.24;15.348;16.15;16.756;18.022;18.806;20.034;54;1;5970.096;1213.611;225;12.2;0;19.145575
25;5972.07;1215.25;20.53;14.262386;4.842125;0.712519;0.339503;5.76;9.38;13.12;15.3;16.04;16.98;17.64;17.88;18.89;65;1;5972.113;1215.913;220;12.8;0;18.964332
26;5977.51;1204.93;17.92;12.65557;3.752716;0.690559;0.296527;7.548;9.536;11.176;12.422;13.56;14.594;15.124;15.824;16.838;79;2;5977.301;1204.95;179;6.8;0;15.873366
27;5981.77;1206.58;20.55;14.3328;3.515917;0.802311;0.245306;10.404;11.16;12.714;13.886;14.91;15.862;16.258;16.798;18.682;86;2;5981.766;1207.109;253;9.1;0;20.879582
28;5984.24;1204.19;16.41;11.961903;3.207149;0.741627;0.268114;6.813;9.54;10.72;11.726;13.01;13.77;14.233;14.736;15.151;91;2;5984.826;1204.507;176;6.7;0;15.660342
29;5986.78;1209.77;19.58;15.656872;2.757553;0.639344;0.176124;12.494;13.75;14.862;15.308;16.45;16.776;17.054;18.12;18.582;88;1;5986.795;1209.759;218;10.9;0;18.890594
30;5986.7;1207.8;19.24;15.492162;3.621708;0.735099;0.233777;11.95;13.9;15.78;16.27;16.73;17.13;17.34;17.74;18.24;89;2;5986.619;1207.861;200;7.5;0;17.341829
31;5987.59;1201.51;18.03;12.267627;4.142427;0.785171;0.337671;5.672;9.068;10.688;11.742;12.83;13.918;15.552;16.276;16.76;98;2;5987.26;1201.767;212;7.2;0;18.163512
